Item No.,Item Description
XNMB63,"WIRE, 6 GAUGE, 3 CONDUCTOR, 10 GA GROUND, NM-B"
XHSSB6F,TERMINAL SPADE FLANGED HEAT SHRINK 14-16 GAUGE #6 STUD
X4SB6S,TERMINAL BLOCK SPADE VINYL-INS 16-14 GAUGE #6 STUD
PBSDB6S,"PROBIT STEP DRILL BIT SET, 6 PC, TiN COATED W/ CASE"
FLB70,"FUSE - FLB, BOLT-MOUNT 70 AMP, BROWN"
B72,"WIRE NUT 22 - 14  GA, BLUE"
RSB75,BULB - ROUGH SERVICE 75 WATT
SG41GB80,"SAFETY GLASESS, BLACK FRAME, CLEAR LENS, FLEXIBLE, POLARIZED COATING"
FLB80,"FUSE - FLB, BOLT-MOUNT 80 AMP, BLACK"
X150CB87,"CIRCUIT BREAKER,EGIS 87 SERIES, PANEL MOUNT WP TYPE III 150 AMP MAN RESET"
X135CB87,"CIRCUIT BREAKER,EGIS 87 SERIES, PANEL MOUNT WP TYPE III 135 AMP MAN RESET"
TCB8A,"CARBIDE BURS-TUNGSTEN 8 SIZES/STYLES, DOUBLE-CUT"
XATCFB8C,ATC FUSE PANEL 8 POSITION COVER ONLY
XHSSB8F,TERMINAL SPADE FLANGED HEAT SHRINK 14-16 GAUGE #8 STUD
X34X2CB8Z,"CARRIAGE BOLT, 3/4-10"" X 2"", GRADE 8, ZINC CLEAR"
X38X1CB8Z,"CARRIAGE BOLT, 3/8-16"" X 1"", GRADE 8, ZINC CLEAR"
X38X2CB8Z,"CARRIAGE BOLT, 3/8-16"" X 2"", GRADE 8, ZINC CLEAR"
X38X3CB8Z,"CARRIAGE BOLT, 3/8-16"" X 3"", GRADE 8, ZINC CLEAR"
X56X1CB8Z,"CARRIAGE BOLT, 5/16-18"" X 1"", GRADE 8, ZINC CLEAR"
X56X2CB8Z,"CARRIAGE BOLT, 5/16-18"" X 2"", GRADE 8, ZINC CLEAR"
X56X3CB8Z,"CARRIAGE BOLT, 5/16-18"" X 3"", GRADE 8, ZINC CLEAR"
X58X5CB8Z,"CARRIAGE BOLT, 5/8-11"" X 5"", GRADE 8, ZINC CLEAR"
X12X2CB8Z,"CARRIAGE BOLT, 1/2-13"" X 2"", GRADE 8, ZINC CLEAR"
X12X3CB8Z,"CARRIAGE BOLT, 1/2-13"" X 3"", GRADE 8, ZINC CLEAR"
X12X4CB8Z,"CARRIAGE BOLT, 1/2-13"" X 4"", GRADE 8, ZINC CLEAR"
X12X5CB8Z,"CARRIAGE BOLT, 1/2-13"" X 5"", GRADE 8, ZINC CLEAR"
X34X3CB8Z,"CARRIAGE BOLT, 3/4-10"" X 3"", GRADE 8, ZINC CLEAR"
X34X4CB8Z,"CARRIAGE BOLT, 3/4-10"" X 4"", GRADE 8, ZINC CLEAR"
X34X5CB8Z,"CARRIAGE BOLT, 3/4-10"" X 5"", GRADE 8, ZINC CLEAR"
X38X4CB8Z,"CARRIAGE BOLT, 3/8-16"" X 4"", GRADE 8, ZINC CLEAR"
X38X5CB8Z,"CARRIAGE BOLT, 3/8-16"" X 5"", GRADE 8, ZINC CLEAR"
X58X2CB8Z,"CARRIAGE BOLT, 5/8-11"" X 2"", GRADE 8, ZINC CLEAR"
X58X3CB8Z,"CARRIAGE BOLT, 5/8-11"" X 3"", GRADE 8, ZINC CLEAR"
X58X4CB8Z,"CARRIAGE BOLT, 5/8-11"" X 4"", GRADE 8, ZINC CLEAR"
6MJ-6MB90,HYDRAULIC FITTING JIC 37° 90° ELBOW TO MALE BOSS 3/8-3/8
2TY11B-A,"CABLE TIE 11"", BLACK, 50 LB TS BULK (PANDUIT)"
2TY7B-A,"CABLE TIE 7"", BLACK, 50 LB TS BULK (PANDUIT)"
2TY3B-A,"CABLE TIE 3"", BLACK, 18 LB TS BULK, (PANDUIT)"
2TY4B-A,"CABLE TIE 4"" BLACK, 30 LB TS BULK, (PANDUIT)"
2TY15B-A,"CABLE TIE  15"" BLACK, 50 LB TS BULK (PANDUIT)"
RODBAG,WELDING ROD BAG BROWN LEATHER
6BAW,"TERMINAL BUTT NYLON-INS MLSPEC 22-18 GAUGE, M7928/5-3, WINDOW"
X56X3CB-B,"CARRIAGE BOLT 5/16"" X 3"" ZINC GRADE A - BULK QTY"
CBB1,"CIRCUIT BREAKER BOOT RED, FITS STUD STYLE"
SBB4,"WIRE WHEEL-STRINGER BEAD 4"" WITH 5/8""-11 ARBOR"
SBB6,"WIRE WHEEL-STRINGER BEAD 6"" WITH 5/8""-11 ARBOR"
BBB,"BOLT BIN BASE-METAL FOR 12"" DEEP, GRAY"
BBL,"BOLT BIN LABELS LABELED FOR USS .75""X3"""
X4BBR,"BUTT CONNECTOR, NYLON, 12-10 AWG, RIBBED BARREL"
X8BBR,"BUTT CONNECTOR, NYLON, 16-14 AWG, RIBBED BARREL"
X6BBR,"BUTT CONNECTOR, NYLON, 22-18 AWG, RIBBED BARREL"
6BBW,"TERMINAL BUTT NYLON-INS MLSPEC 16-14 GAUGE, M7928/5-4, WINDOW"
HSMTB-C,"TERMINAL MALE HEAT SHRINK 16-14 GAUGE, .250"" TAB"
HSFRB-C,"TERMINAL FEMALE HEAT SHRINK 16-14 GAUGE, .250"" TAB"
HSB-C,TERMINAL BUTT HEAT SHRINK 16-14 GAUGE
X8BC1,"BATTERY CABLE 100 FOOT ROLL 8 GAUGE, RED"
ABC1,"FUSE - ABC 1/4"" X 1-1/4"", 1 AMP"
X8BC2,"BATTERY CABLE 100 FOOT ROLL 8 GAUGE, BLACK"
SBC2,SPLIT BOLT CONNECTOR - COPPER 2 - 6 GAUGE
SBC4,SPLIT BOLT CONNECTOR - COPPER 4 - 8 GAUGE
XABC5,"FUSE - ABC 1/4"" X 1-1/4"", 5 AMP"
GBC5,"FUSE - GBC 1/4"" X 31/32"", 5 AMP"
SBC6,SPLIT BOLT CONNECTOR - COPPER 6 - 8 GAUGE
SBC8,SPLIT BOLT CONNECTOR - COPPER 8 - 10 GAUGE
GBC8,"FUSE - GBC 1/4"" X 31/32"", 8 AMP"
X22BCB,BATTERY CABLE 250' SPL BLACK 2 GAUGE
X2BCB,BATTERY CABLE 250' SPL RED 2 GAUGE
X12BCD,"BATTERY CABLE 500' SPOOL 1 GAUGE, BLACK"
X1BCD,"BATTERY CABLE 500' SPOOL 1 GAUGE, RED"
62BCD,"BATTERY CABLE 500 FOOT SPOOL 6 GAUGE, BLACK"
X22BCD,BATTERY CABLE 500' SPL BLACK 2 GAUGE
X6BCD,"BATTERY CABLE 500 FOOT SPOOL 6 GAUGE, RED"
6BCD,"BATTERY CABLE 500 FOOT ROLL 6 GAUGE, RED"
X42BCD,BATTERY CABLE 500' SPL BLACK 4 GAUGE
X2BCD,BATTERY CABLE 500' SPL RED 2 GAUGE
X41BCD,BATTERY CABLE 500' SPL RED 4 GAUGE
X62BCD,"BATTERY CABLE 500 FOOT SPOOL 6 GAUGE, BLACK"
X34RBCF,"3/4"" RUBBER GASKET FOR NPT MALE CROWS FOOT"
MLBCK,"ASSORTMENT-TERMINALS/CONN. 90 PCS, MULTI-LINK"
SBCK,"ASSORTMENT-SOLDER BUTT CONN 125 PCS, 22-10 GA, HEAT SHRINK"
HLBCK,"ASSORTMENT-HYDRALINK BUTT CONN 125 PCS, 20 - 10 GA"
HSBCK,"ASSORTMENT-HS BUTT CONNECTS 175 PCS, 20-10 GA, HEAT SHRINK"
10BCL,"BATTERY CABLE 250 FOOT ROLL 1/0 GAUGE, BLACK"
X42BCL,"BATTERY CABLE 250 FOOT SPOOL, BLACK, 4 GAUGE"
X41BCL,"BATTERY CABLE 250 FOOT SPOOL, RED, 4 GAUGE"
62BCL,"BATTERY CABLE 250 FOOT SPOOL 6 GAUGE, BLACK"
6BCL,"BATTERY CABLE 250 FOOT SPOOL 6 GAUGE, RED"
6BCW,"TERMINAL BUTT NYLON-INS MLSPEC 12-10 GAUGE, M7928/5-5, WINDOW"
WPMTB-D,"WEATHER PACK TERMINAL 16-14 GA, MALE 12124582 500 COUNT BAG"
DTPB-D,"DEUTSCH PIN TERMINAL 16-14 GAUGE, 500/BAG"
DTSB-D,DEUTSCH SOCKET TERMINAL 16-14 GAUGE 500/BAG
XAPBD8,BELT DRESSING 8 OUNCE
XALKAABDC,BATTERY - ALKALINE AA DURACELL
XALKAAABDC,BATTERY - ALKALINE AAA DURACELL
XRGSCC901-R-B-B-E,CARLING ROCKER SWITCH DPST OFF-ON
Cube3,Office cubes
Cube4,Office cubes
LEDDBEA,"CLEARANCE MKR LED - BULLS EYE AMBER, 6 DIODES, 14 VOLT"
X8BEC,TERMINAL STEP DOWN BUTT VINYL-INS 8 GAUGE TO 12-10 GAUGE
PART NUMBER,XE2038S COMMUNICATIONS CABLE CLR/CL3R 18 GAUGE 8 CONDUCTOR
CUSTOMER NUMBER,CUST. PART #
LEDDBER,"CLEARANCE MKR LED - BULLS EYE RED, 6 DIODES, 14 VOLT"
X38X14SBF2,"SHANK 1/4 HEX FEMALE, 3/8 DRIVE 2  LONG"
X4BFE,TERMINAL STEP DOWN BUTT VINYL-INS 6 TO 8 GAUGE
XSDBFE,TERMINAL STEP DOWN NON-INS 6 GAUGE TO 8 GAUGE
X8BBFE,"TERMINAL BUTT NYLON-INS  16-14 GAUGE, NICHIFU"
X3416X212FBFP,"FRAME BOLT, GR8 NON-SERRATED, PLAIN, 3/4-16 X 2-1/2"
X3416X312FBFP,"FRAME BOLT, FLANGE, GR8, PLAIN, 3/4-16 X 3-1/2"
X3416X3FBFP,"FRAME BOLT, FLANGE, GR8, PLAIN, 3/4-16 X 3"
X3416X4FBFP,"FRAME BOLT, FLANGE, GR8, PLAIN, 3/4-16 X 4"
X3416X314FBFP,"FRAME BOLT, GR8 NON-SERRATED, PLAIN, 3/4-16 X 3-1/4"""
ADJPB-H,"PARTS BOX-METAL ADJUST/HOR. 18"" X 12"" X 3"", GRAY"
VSGBH6,"6"" SPIN-GRIP BIT HOLDER"
X38X12SBHA,AIR BRAKE SWIVEL BODY HOSE ADAPTER 3/8 MPT X 1/2 ABS THREAD (3/4-20)
X632X12BHC,BUTTON HEAD SOCKET CAP SCREW
X632X1BHC,BUTTON HEAD SOCKET CAP SCREW
X632X112BHC,BUTTON HEAD SOCKET CAP SCREW
X832X34BHC,BUTTON HEAD SOCKET CAP SCREW
X832X112BHC,BUTTON HEAD SOCKET CAP SCREW
X1032X112BHC,BUTTON HEAD SOCKET CAP SCREW
X5624X1BHC,"BUTTON HEAD SOCKET CAPSCREW, ALLOY STEEL, BLACK OXIDE"
X12X35MBHC,"METRIC BUTTON HEAD CAP SCREW, 12-1.75 X 35MM"
X836X34BHC,"BUTTON HD SOCKET CAPSCREW  PLAIN #8-36 X 1/2"""
X10X16MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M10-1.50 X 16
X1420X214BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 2-1/4"""
X1420X58BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 5/8"""
X3816X212BHC,BUTTON HEAD SOCKET CAP SCREW
X6X10MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M6-1.0 X 10
X5624X34BHC,"BUTTON HD SOCKET CAPSCREW UNF PLAIN 5/16""-24 X 3/4"""
X5618X112BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 5/16""-18 X 1-1/2"""
X1420X2BHC,BUTTON HEAD SOCKET CAP SCREW
X6X20MBHC,METRIC BUTTON HEAD SOCKET CAP SCREW
X8X25MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M8-1.25 X 25
X5X16MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M5-0.80 X 16
X6X25MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M6-1.0 X 25
X5618X34BHC,"BUTTON HD SOCKET CAPSCREW UNC BLACK OXIDE 5/16""-18 X 3/4"""
X8X16MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M8-1.25 X 16
X8X20MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M8-1.25 X 20
X5X20MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M5-0.8 X 20
X1213X112BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/2""-13 X 1-1/2"""
X1213X214BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/2""-13 X 2-1/4"""
X1024X12BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN #10-24 X 1/2"""
X1024X38BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN #10-24 X 3/8"""
X3816X112BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 3/8""-16 X 1-1/2"""
X3816X114BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 3/8""-16 X 1-1/4"""
X3816X12BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 3/8""-16 X 1/2"""
X3816X2BHC,BUTTON HEAD SOCKET CAP SCREW
X3824X58BHC,"BUTTON HD SOCKET CAPSCREW UNF PLAIN 3/8""-24 X 5/8"""
X5618X114BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 5/16""-18 X 1-1/4"""
X1420X112BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 1-1/2"""
X1420X212BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 2-1/2"""
X1420X114BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 1-1/4"""
X632X34BHC,"BUTTON HEAD SOCKET CAP SCREW #6-32 X 3/4"""
X1024X34BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN #10-24 X 3/4"""
X1024X1BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN #10-24 X 1"""
X1024X112BHC,BUTTON HEAD SOCKET CAP SCREW
X5618X1BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 5/16""-18 X 1"""
X1420X134BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 1-3/4"""
X5618X2BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 5/16""-18 X 2"""
X6X16MBHC,BUTTON HD SOCKET CAPSCREW  PLAIN M6-1.0 X 16
X1032X34BHC,"BUTTON HD SOCKET CAPSCREW UNF PLAIN #10-32 X 3/4"""
X1420X38BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 3/8"""
X3816X34BHC,"BUTTON HD SOCKET CAPSCREW UNC BLACK OXIDE 3/8""-16 X 3/4"""
X832X1BHC,"BUTTON HD SOCKET CAPSCREW  PLAIN #8-32 X 1"""
X1032X1BHC,"BUTTON HD SOCKET CAPSCREW UNF PLAIN #10-32 X 1"""
X3816X1BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 3/8""-16 X 1"""
X1420X1BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 1"""
X1420X12BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 1/2"""
X1420X34BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 1/4""-20 X 3/4"""
X1032X12BHC,"BUTTON HD SOCKET CAPSCREW UNF PLAIN #10-32 X 1/2"""
X5618X12BHC,"BUTTON HD SOCKET CAPSCREW UNC PLAIN 5/16""-18 X 1/2"""
X832X12BHC,"BUTTON HD SOCKET CAPSCREW  PLAIN #8-32 X 1/2"""
XA6616BHM,BODY HARDWARE MASTER ASSORMENT
XA6602BHM,AUVECO BODY HARDWARE ASSORTMENT 965 PIECES
XA6604BHM,AUVECO BODY HARDWARE ASSORTMENT 445 PIECES
XA6605BHM,AUVECO BODY HARDWARE ASSORTMENT 492PIECES
XA6630BHM,AUVECO NYLON CONNECTOR KIT 310 PIECES
XA6632BHM,AUVECO BODY HARDWARE ASSORTMENT 400 PIECES
XA6601BHM,AUVECO BODY HARDWARE ASSORTMENT  1085 PCS
XM8X40MBHS,"BUTTON HEAD SOCKET, M8 X 40MM, BLACK, FT"
X58SLHT-BK,"SPLIT LOOM, 5/8"", BLACK, HIGH TEMP"
X1SLHT-BK,"SPLIT LOOM 1"", BLACK, HIGH TEMP, 75' ROLL"
X34SLHT-BK,"SPLIT LOOM, 3/4"", BLACK, HIGH TEMP"
X14SLHT-BK,"SPLIT LOOM 1/4"", BLACK, HIGH TEMP"
X12SLHT-BK,"SPLIT LOOM 1/2"", BLACK, HIGH TEMP -40 DEG TO 300 DEGREES"
XKLNBL4,"KLEIN L-STYLE BALL-END HEX KEY 1/16"""
XSNAPARTBLD,"SNAP ART BLADE, 10/PACK"
XPROBUBBLE,"PRO BUBBLE LEAK DETECTION SPRAY, 32 OZ"
XBR112X1BLF,"BRASS, BUSHING, 1-1/2"" X 1"", LEAD FREE"
XBR2X112BLF,"BRASS, BUSHING, 2"" X 1-1/2"", LEAD FREE"
XBR34X12BLF,"BRASS, BUSHING, 3/4"" X 1/2"", LEAD FREE"
XBR1X34BLF,"BRASS, BUSHING, 1"" X 3/4"", LEAD FREE"
XBW162BLJ,"BRAKE WIRE 250' SPL 16 GA, 2 COND., BLACK JACKET W/  BLACK/WHITE INNERS"
14X114FWBLK,"FENDER WASHER USS ZINC 1/4"" X 1-1/4"" BULK BOX"
14X1CBLK,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1"", GR 5 BULK BOX"
LN3816BLK,"LOCK NUT NYLON UNC ZINC 3/8""-16 GR 2, 2500/BULK BOX"
X12X24X125PLEXBLK,"BLACK#2025 OPAQUE ACRYLIC SHEET 12"" X 24"" X 1/8"""
14X12CBLK,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1/2"", GR 5, 3300/BULK BOX"
X1420X1CBG5BLK,"CARRIAGE BOLT 1/4-20 X 1"" F/T GR 5, BLK OXIDE"
XSP34BLK,"SQUARE PLUG, SNAP IN, POLYETHYLENE, .71""-.8"" INSIDE SQ. 7/16"" HEIGHT"
XFGN050BLK,"FIBERGLASS SLEEVING 1/2"" UP TO 1200 DEGREES 50 FT"
XFGN150BLK,"FIBERGLASS SLEEVING 1-1/2"" UP TO 1200 DEGREES 25 FT"
X200576FEBLK,WHEEL WEIGHTS STICK ON 1/4 OZ. BLACK 48 STRIPS PER BOX
XEBACM-BLK,AUTO CONNECTORS MALE O/PUT TANG SEALED DCR 3749 - BLACK
14X2CBLK,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 2"", GR 5 BULK BOX"
LN1420BLK,"LOCK NUT NYLON UNC ZINC 1/4""-20 GR 2, 3500/BULK BOX"
XSP1BLK,"SQUARE PLUG, SNAP IN, POLYETHYLENE, 1.02""-1.1"" INSIDE SQ, 1/2"" HEIGHT"
XKLN44001BLK,"KLEIN BLACK LIGHTWEIGHT LOCKBACK KNIFE 2-1/2"""
14X4PBLK,TRAILER CABLE BULK 500 FOOT SPOOL
7PBLK,"TRAILER CABLE 500 FOOT ROLL 6/12 GA, 1/10 GA, 7 CONDUCTOR"
14X6PBLK,"TRAILER CABLE 500 FOOT SPOOL 14 GA X 6 CONDUCTOR, BULK"
14X7PBLK,"TRAILER CABLE 500 FOOT SPOOL 14 GA X 7 CONDUCTOR, BULK"
MASK3X60BLU,"MASKING TAPE 3"" X 60 YDS BLUE"
XEBACM-BLU,AUTO CONNECTORS MALE O/PUT TANG SEALED DCR 3749 - BLUE
URBEDASSEMBLY,UR BED ASSEMBLY KIT
WPFTB-M,"WEATHER PACK TERMINAL 16-14 GA, FEMALE 12124580 1000/BAG"
HSB-M,TERMINAL BUTT HEAT SHRINK 16-14 GAUGE 1000 COUNT BAG
7BB-M,TERMINAL BUTT NON-INS 16-14 GAUGE 1000 COUNT BAG
8BB-M,"TERMINAL BUTT NYLON-INS 16-14 GAUGE 1,000 COUNT BAG"
XBNB,"BATTERY NUT AND BOLT-SQ H 1/4""-20 X 1-5/8"""
BNB,"BATTERY NUT AND BOLT-SQ HEAD 5/16""-18 X 1-1/4"""
XRRA22H3DBBNN,ROCKER SWITCH ROUND BLACK NON/OFF SPST
X5618X34THMBNS,"THUMB SCREW 5/16""-18 X 3/4"" NO SHOULDER"
EXSL12B-O,"EXPANDABLE SLEEVING 1/2"" 500' ROLL ORANGE"
XSDBOA,TERMINAL STEP DOWN NON-INS 18-22 GAUGE TO 24-26 GAUGE
X4SDBOA,TERMINAL STEP DOWN VINYL 18-22 GAUGE TO 24-26 GAUGE
XMLPLOBOX,PLUG LOCKOUT BOX RED
RLBP2,"ROLOK MEDIUM BACKING PAD, 2"" X 1/2 / M6"
X1213X312X4SQUBPL,SQUARE U BOLT 1/2-13 DIA 3-1/2 L X 4 BETWEEN LEGS PLAIN
X142836BPS,"SET SCREW BRASS TIPPED 1/4""-28 X 3/16"""
XSRD1-1F-DC-1-BRR,ROCKER SWITCH  W/ ACTUATOR DUAL LENSE RED ON-OFF-ON 14V
XVMIBS1,TAPERED BATTERY BRUSH
X1420X6TFBS2,"FLOORBOARD SCREW FLAT HEAD TORX DRIVE, 1/4""-20 X 6"", BLACK"
X4DRBSB,"DRAWER RACK SHORT BASE 5-3/4"" LEGS"
X8BBSF,"TERMINAL BUTT NYLON-INS  16-14 GAUGE, SILICONE FILLED"
BSN,BATTERY STUD NUT - S/S FOR THREADED POSTS 3/8-16 THREAD
XDS-4DBSR,REPLACEMENT DRAWER SLIDE SET FOR 4DBSR - 2 SLIDES
6DBSR,"6 DRAWER RACK BEARING SLIDE FOR LARGE BOXES, WITH DOORS"
4DBSR,DRAWER RACK LARGE BEARING SLIDE FOR LARGE BOXES 20-5/16 x 12-5/8 x 14-7/8
X14X1SBSS,"SS SHOULDER BOLT 1/2-20 X 1"""
X38X212CBSS,"CARRIAGE BOLT UNC 3/8""-16 X 2-1/2"" STAINLESS"
X56X112CBSS,"CARRIAGE BOLT UNC 5/16""-18 X 1-1/2"" STAINLESS"
X56X234CBSS,"CARRIAGE BOLT UNC 5/16""-18 X 2-3/4"" STAINLESS"
X56X312CBSS,"CARRIAGE BOLT UNC 5/16""-18 X 3-1/2"" STAINLESS"
X56X3CBSS,"CARRIAGE BOLT UNC 5/16""-18 X 3"" STAINLESS"
X56X412CBSS,"CARRIAGE BOLT UNC 5/16-18 X 4-1/2"", STAINLESS"
X56X4CBSS,"CARRIAGE BOLT UNC 5/16""-18 X 4"" STAINLESS"
XCB14X6CBSS,"CARRIAGE BOLT 1/4-20 X 6"" STAINLESS"
X38X4CBSS,"CARRIAGE BOLT  UNC 3/8""-16 X 4"" STAINLESS"
X14X3CBSS,"SS CARRIAGE BOLT 1/4-20 X 3"""
X14X4CBSS,SS CARRIAGE BOLT
X56X212CBSS,"CARRIAGE BOLT  UNC 5/16""-18 X 2-1/2"" STAINLESS"
X12X312CBSS,"CARRIAGE BOLT  UNC 1/2""-13 X 3-1/2"" STAINLESS"
X38X1CBSS,"CARRIAGE BOLT  UNC 3/8""-16 X 1"" STAINLESS"
X38X2CBSS,"CARRIAGE BOLT  UNC 3/8""-16 X 2"" STAINLESS"
X38X34CBSS,"CARRIAGE BOLT  UNC 3/8""-16 X 3/4"" STAINLESS"
X38X412CBSS,"CARRIAGE BOLT  UNC 3/8""-16 X 4-1/2"" STAINLESS"
X56X34CBSS,"CARRIAGE BOLT  UNC 5/16""-18 X 3/4"" STAINLESS"
X76X412CBSS,"CARRIAGE BOLT  UNC 7/16""-14 X 4-1/2"" STAINLESS"
X1024X34TLBSS,"MACHINE SCREW PHPS PAN HD #10-24 X 3/4"", TRI-LOBE, BLUE, SS"
X56X114CBSS,"CARRIAGE BOLT  UNC 5/16""-18 X 1-1/4"" STAINLESS"
X1024X12TLBSS,"MACHINE SCREW PHPS PAN HD #10-24 X 1/2"", TRI-LOBE, BLUE, SS"
X38X112CBSS,"CARRIAGE BOLT  UNC 3/8""-16 X 1-1/2"" STAINLESS"
X1024X112CBSS,"CARRIAGE BOLT  UNC 10-24 X 1-1/2"" STAINLESS"
X1024X1CBSS,"CARRIAGE BOLT  UNC 10-24 X 1"" STAINLESS"
X1032X1CBSS,"CARRIAGE BOLT  UNC 10-32 X 1"" STAINLESS"
X12X3CBSS,"CARRIAGE BOLT  UNC 1/2""-13 X 3"" STAINLESS"
X38X3CBSS,"CARRIAGE BOLT  UNC 3/8""-16 X 3"" STAINLESS"
X56X2CBSS,"CARRIAGE BOLT  UNC 5/16""-18 X 2"" STAINLESS"
X14X12CBSS,SS CARRIAGE BOLT
X14X112CBSS,"CARRIAGE BOLT  UNC 1/4""-20 X 1-1/2"" STAINLESS"
X56X1CBSS,"CARRIAGE BOLT  UNC 5/16""-18 X 1"" STAINLESS"
X14X1CBSS,"CARRIAGE BOLT  UNC 1/4""-20 X 1"" STAINLESS"
X14X34CBSS,"CARRIAGE BOLT  UNC 1/4""-20 X 3/4"" STAINLESS"
X10X34BST,"TEK SCREW HEX HD BOND SEAL PHIL. #10 X 3/4"""
X14X114BST,"TEK SCREW HEX HD BOND SEAL PHIL. #14 X 1-1/4"""
X10X1BST,"TEK SCREW HEX HD BOND SEAL PHIL. #10 X 1"""
X14X1BST,"TEK SCREW HEX HD BOND SEAL #14 X 1"""
X12X34BST,"TEK SCREW HEX HD BOND SEAL PHIL. #12 X 3/4"""
X14X34BST,"TEK SCREW HEX HD BOND SEAL PHIL. #14 X 3/4"""
X12X1BST,"TEK SCREW HEX HD BOND SEAL PHIL. #12 X 1"""
XDT2S-BT,DEUTSCH HOUSING BOOT
XDTM4P-BT,DEUTSCH BOOT
XPW14M3/1SBT2,"PRIMARY WIRE GPT 1,000' SPOOL 14 GAUGE WHITE WITH RED STRIPE"
XPW14M7LTSBT2,"PRIMARY WIRE GPT 1,000' SPOOL 14 GAUGE, LIGHT GREEN"
XPW12D3SBT2,PRIMARY WIRE 12 GAUGE BLACK
XPW14D1/3SBT2,PRIMARY WIRE 14 GAUGE RED WITH A WHITE STRIPE 500' SPOOL
XPW14D10SBT2,PRIMARY WIRE 14 GAUGE PINK 500' SPOOL
XPW14D11SBT2,PRIMARY WIRE 14 GAUGE TAN 500' SPOOL
XPW14D3/1SBT2,PRIMARY WIRE 14 GAUGE WHITE WITH A RED STRIPE 500' SPOOL
XPW14D5/7SBT2,PRIMARY WIRE 14 GAUGE YELLOW WITH GREEN STRIPE
XPW14D7LTSBT2,"PRIMARY WIRE GPT 500' SPOOL 14 GAUGE, LIGHT GREEN"
XPW14M1/3SBT2,"PRIMARY WIRE GPT 1,000' SPOOL"
XPW14M8SBT2,"PRIMARY WIRE GPT 1,000' SPOOL"
XPW18M10SBT2,PRIMARY WIRE 18 GAUGE PINK 500' SPOOL
XPW18M5SBT2,"PRIMARY WIRE GPT 1,000' SPOOL"
XPW12D1SBT2,PRIMARY WIRE 12 GAUGE RED
XPW14D0SBT2,PRIMARY WIRE 14 GAUGE ORANGE
XPW14D5SBT2,PRIMARY WIRE 14 GAUGE YELLOW
XPW18M3/2SBT2,PRIMARY WIRE 18 GAUGE WHITE WITH BLACK STRIPE
XPW18M5/7SBT2,PRMARY WIRE 18 GAUGE YELLOW WITH GREEN STRIPE
XPW10D1SBT2,"PRIMARY WIRE GPT 500' SPOOLS 10 GAUGE, RED"
XPW14D1SBT2,"PRIMARY WIRE GPT 500' SPOOLS 14 GAUGE, RED"
XPW14D3SBT2,"PRIMARY WIRE GPT 500' SPOOLS 14 GAUGE, WHITE"
XPW14D8SBT2,"PRIMARY WIRE GPT 500' SPOOLS 14 GAUGE, GRAY"
XPW18M3SBT2,"PRIMARY WIRE GPT 1,000' SPOOL 18 GAUGE, WHITE"
X2BCSBT2,BATTERY CABLE 500' SPL RED 2 GAUGE
X41BCSBT2,BATTERY CABLE 500' SPL RED 4 GAUGE
