Item No.,Item Description
X24X100M10.9,METRIC CAPSCREW CLASS 10.9 M24-3.0 X 100 HCS SINC
X24X130M10.9,"HEX CAP SCREW BOLT METRIC ZINC M24-3.0 X 130, CL 10.9"
X24X180M10.9,METRIC CAP SCREW GR 10.9 M24X180 HCS
X24X40M10.9,METRIC CAPSCREW GRADE 10.9 M24-40 HCS
X24X80M10.9,"HEX CAP SCREW BOLT METRIC ZINC M24-3.0 X 80, CL 10.9 FULL THREAD"
X8X1.0X40M10.9,"HEX CAP SCREW BOLT METRIC ZINC M8-1.0 X 40, CL 10.9"
X18X1.5X40M10.9,"HEX CAP SCREW BOLT METRIC ZINC M18-1.50 X 40, CL 10.9"
X8X1.0X20M10.9,"HEX CAP SCREW BOLT METRIC ZINC M8-1.0 X 20, CL 10.9"
X16X1.5X50M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-1.50 X 50, CL 10.9"
X10X1.25X25M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 25, CL 10.9"
X20X1.5X40M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-1.50 X 40, CL 10.9"
X6X100M10.9,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 100, CL 10.9"
X6X80M10.9,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 80, CL 10.9"
X6X90M10.9,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 90, CL 10.9"
X10X80MF10.9,HEX FLANGE BOLT METRIC ZINC M10-1.50 X 80 CL 10.9
X12X110M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M12-1.75 X 110, CL 10.9"
X10X160M10.9,METRIC CAPSCREW GRADE 10.9 M10-1.50X 160 HCS PLAIN
X10X130M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 130, CL 10.9"
X16X1.5X80M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-1.50 X 80, CL 10.9"
X12X150M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.75 X 150, CL 10.9"
X10X1.25X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 35, CL 10.9"
XMLN12X1.2510.9,LOCK NUT ZINC M12-1.25 CL 10.9
X10X1.25X40M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 40, CL 10.9"
X14X150M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 150, CL 10.9"
X12X1.5X50M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 50, CL 10.9"
X12X1.5X70M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 70, CL 10.9"
X5X30M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M5-0.80 X 30, CL 10.9"
X5X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M5-0.80 X 35, PARTIAL THREAD, CL 8.8"
X14X1.5X40M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-1.50 X 40, CL 10.9"
X20X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 35, CL 10.9"
X20X40M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 40, CL 10.9"
X10X75M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 75, CL 10.9"
X10X80M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 80, CL 10.9"
X12X65M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.75 X 65, CL 10.9"
X14X90M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 90, CL 10.9"
X16X110M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 110, CL 10.9"
